N:0	Tempo:0,000
N:10000	Tempo:0,290
N:20000	Tempo:0,990
N:30000	Tempo:2,439
N:40000	Tempo:3,900
N:50000	Tempo:6,161
N:60000	Tempo:7,822
N:70000	Tempo:11,831
N:80000	Tempo:13,961
N:90000	Tempo:17,569
N:100000	Tempo:21,649
N:100000	Tempo:29,021
N:200000	Tempo:92,357
N:300000	Tempo:190,227
N:400000	Tempo:339,035
N:500000	Tempo:526,993
N:600000	Tempo:761,124
N:700000	Tempo:1035,760
N:800000	Tempo:1355,127
N:900000	Tempo:1717,995
N:1000000	Tempo:2121,059
N:1000000	Tempo:2121,540
N:2000000	Tempo:8560,491
